section,in_resume,title,loc,institution,start,end,description_1,description_2,description_3,description_4
teaching_positions,FALSE,Ecology tutor,NA,Federal University of Viçosa,2012,2013,"Worked as a tutor in the course “BIO 131 — Ecologia Básica” (Basic Ecology) for three semesters. My duties consisted of assisting the students during the practical lessons, evaluating the reports made by the students and conducting a weekly meeting to help the students with any content-related doubts. I also helped the professors during the I, II & III Mostra de trabalhos de ecologia básica. These were mini symposia in which the students presented projects conducted during the course using the scientific method. My duties were to supervise and evaluate some of these projects.",I received a scholarship as a compensation for my work in this position,Undergraduate class,
academic_articles,FALSE,Do different light conditions influence warning signal efficacy in the color polymorphic wood tiger moth males?,Talk,"5^TH^ Young Natural History Scientists’ Meeting, Paris, France.",2018,2018,"**_DE MORAES REZENDE, F._** ; MAPPES, J. ; NOKELAINEN, O. ",NA,NA,
academic_articles,FALSE,"Defense behavior of the Blood-red ant _Formica sanguinea_ Latreille, 1789",Poster,"XXII Simpósio de Mirmecologia: An International Ant Meeting, Ilhéus, Brazil",2015,2015,"**_DE MORAES REZENDE, F._**",NA,NA,
academic_articles,FALSE,Insights on the behaviour of the neotropical termitophilous ant Centromyrmex pr. brachycola,Poster,"23^rd^ Spring Symposium, Helsinki, Finland",2014,2014,"CHAUL, J. C. M; **_REZENDE, F. M._**",,,
academic_articles,FALSE,Resource availability and aggressive behavior among ants: a proxy for inter-specific competition role on ant community structure.,Poster,"XXI Simpósio de Mirmecologia, Fortaleza, Brazil",2013,2013,"_SCHMIDT, F. A._ ; JESUS, R. S. ; **REZENDE, F. M.** ; SOLAR, R. R. C. ; RIBAS, C. R. ; SCHOEREDER, J. H.",,,
academic_articles,FALSE,Azteca-Cecropia interaction: Ants’ presence could influence the production of Müllerian bodies in Cecropia glaziovii sneth?,Poster,"50^th^ Anniversary Meeting: Association for tropical biology and conservation, San José, Costa Rica",2013,2013,"_OLIVEIRA, K. N._ ; JESUS, R. S. ; SOUZA, A. A. B. ; **REZENDE, F. M.** ; ESPÍRITO-SANTO, M. M. ; CAMPOS, R. I.",,,
academic_articles,FALSE,Processo de apodrecimento de troncos caídos no solo e a diversidade de formigas,Poster,"XXIV Congresso Brasileiro de Entomologia, Curitiba, Brazil",2012,2012,"CHAUL, J. C. M. ; **_REZENDE, F. M._** ",We investigated how the richness of the ant communities present in fallen logs was influenced by how rot these logs were. Our hypothesis was that we would find more ant species when the logs were at a moderate state of decay. We did not find a significant relationship between the studied variables,,
organizing_committee,FALSE,III Mostra de Trabalhos de Ecologia Básica,"Viçosa, Brazil",Federal University of Viçosa,2013,2013,NA,NA,,
organizing_committee,FALSE,II Mostra de Trabalhos de Ecologia Básica,"Viçosa, Brazil",Federal University of Viçosa,2013,2013,NA,NA,,
organizing_committee,FALSE,I Mostra de Trabalhos de Ecologia Básica,"Viçosa, Brazil",Federal University of Viçosa,2012,2012,NA,NA,,
organizing_committee,FALSE,I Simpósio de Ecologia e Evolução,"Viçosa, Brazil",Federal University of Viçosa,2012,2012,NA,NA,,
event_participation,FALSE,XXII Simpósio de Mirmecologia: An International Ant Meeting,"Ilhéus, Brazil",NA,2015,2015,NA,NA,,
event_participation,FALSE,5^TH^ Young Natural History Scientists’ Meeting,"Paris, France",NA,2018,2018,NA,NA,,
event_participation,FALSE,"I Simpósio de Ecologia e Evolução, Viçosa, Brazil","Viçosa, Brazil",NA,2012,2012,NA,NA,,
event_participation,FALSE,"XXIV Congresso Brasileiro de Entomologia,","Curitiba, Brazil",NA,2012,2012,NA,NA,,
event_participation,FALSE,III Simpósio de Entomologia,"Viçosa, Brazil",NA,2011,2011,NA,NA,,
event_participation,FALSE,XX Simpósio de Mirmecologia — I Encuentro de Mirmecologia de Las Americas,"Petrópolis, Brazil",NA,2011,2011,NA,NA,,
coding,FALSE,"<i class=""fab fa-r-project""></i>",,NA,NA,NA,"I can analyze data using LMs, GLMs, GLMMs and conduct survival analyses. I can produce bar plots, line graphs, scatter plots, and histograms using R’s base graphics device and ggplot2. Finally, I know enough programming in R to clean and organize/sort data. I also know enough R to look for help online and implement it on my own provided that I have some time to work on it.",,,
coding,FALSE,LaTeX,,NA,NA,NA,"I can produce my own simple documents, including presentations and I know enough to implement different templates when necessary",,,
coding,FALSE,"<i class=""fab fa-python""></i> Python",,NA,NA,NA,"I can use libraries such as Pandas, Matplotlib and Seaborn to do basic data manipulation and plotting",NA,,
coding,FALSE,"<i class=""fas fa-terminal""></i> Bash",,NA,NA,NA,I can write scripts to manipulate data and automate tasks,,,
specialization_courses,FALSE,[Computational and data literacy](https://www.nhm.ac.uk/our-science/courses-and-students/advancing-computational-and-data-literacy-for-life-scientists.html),"London, UK",Natural History Museum,2018,2018,Duration: June 4 – June 8,"Course on reproducible data analysis and management, including data wrangling, Git and Github, R Markdown, and the basics of data analysis and visualisation using R.",,
specialization_courses,FALSE,"International summer school on lake ecology and management,","Cēsis, Latvia",Institute for Environmental Solutions,2017,2017,Duration: August 24 – September 2,"This summer school focused on lake ecology and management in the 21^st^ century, new technologies for lake research and sustainable management developed in cooperation with stakeholders",,
specialization_courses,FALSE,2^a^ EcoEscola: Escola de Ecologia da USP,"São Paulo, Brazil",University of São Paulo,2015,2015,Duration: July 27 – August 14 (92 hours altogether),"A three-week long course on ecology organized by the students of USP’s Graduate Program in Ecology. It consisted of two modules. The first module happened from July 27 to July 31 and it consisted of three mini-symposia (one about ecology applied to conservation, one about ecology & evolution and one about ecological interactions). The second module happened from August 3 to August 14. It consisted of lectures about the scientific method, data analysis and presentation, among other topics. We also developed, executed and presented a project on ecology. For more information on this course please write ecoescola@ib.usp.br",,
specialization_courses,FALSE,III Formigas do Brasil,"Uberlândia, Brazil",Federal University of Uberlândia,2014,2014,Duration: September 7 – September 14  (56 hours altogether),"A course on Brazilian mirmecology. It included lectures about ecology, taxonomy, phylogeny, ant identification and sampling. Additionally, we had a field trip to the Cerrado (a Brazilian biome similar to the African Savannas) to apply some of the sampling techniques that we learned during the course.",,
specialization_courses,FALSE,"Taxonomy, Identification and Ecology of European Ants","Copenhagen, Denmark",University of Copenhagen,2014,2014,Duration: August 24 – August 29 (4 ECTS),"Similar to “III Formigas do Brasil” but focusing on European ants. Besides the previously described topics, this course dealt with chemical ecology and molecular methods. We also went on a field trip to learn/apply sampling techniques.",,
specialization_courses,FALSE,XI Curso de Verão em Entomologia,"Ribeirão Preto, Brazil",University of São Paulo --- Ribeirão Preto _campus_,2013,2013,January 28 – February 8 (90 hours altogether),"An entomology summer school. We learned the basics about ecology, evolution, phylogeny, biogeography and behavior of several different Insecta groups. We also learned several sampling techniques used to samples insects and applied them on a short field trip.",,
academic_articles,FALSE,Beyond beta: diversity partitioning reveals different underlying patterns in ant assemblages along two small scale gradients in a Brazilian Neotropical forest,Article under-review (copy available upon request.),,2019,2019,"**DE MORAES REZENDE, F.** ; SCHMIDT, F. A. ; JESUS, R. S. ; RIBAS, C. R. ; SCHOEREDER, J. H. ",,,
online_courses,FALSE,Introduction to Shell for Data Science,,Datacamp,2019,2019,"Course description: “The Unix command line has survived and thrived for almost 50 years because it lets people do complex things with just a few keystrokes. Sometimes called ""the universal glue of programming,"" it helps users combine existing programs in new ways, automate repetitive tasks, and run programs on clusters and clouds that may be halfway around the world. This course will introduce its key elements and show you how to use them efficiently.“",,,
online_courses,FALSE,Writing Functions in R,,Datacamp,2019,2019,"Course description: “Functions are a fundamental building block of the R language. You've probably used dozens (or even hundreds) of functions written by others, but in order to take your R game to the next level, you'll need to learn to write your own functions. This course will teach you the fundamentals of writing functions in R so that, among other things, you can make your code more readable, avoid coding errors, and automate repetitive tasks. “",,,
online_courses,FALSE,Introduction to Git for Data Science,,Datacamp,2019,2019,"Course description: “Version control is one of the power tools of programming. It allows you to keep track of what you did when, undo any changes you decide you don't want, and collaborate at scale with other people. This course will introduce you to Git, a modern version control tool that is very popular with data scientists and software developers, and show you how to use it to get more done in less time and with less pain. “",,,
online_courses,FALSE,Intermediate Functional Programming with purrr,,Datacamp,2019,2019,"Course description: “Have you ever been wondering what the purrr description (“A functional programming toolkit for R”) refers to? Then, you’ve come to the right place! This course will walk you through the functional programming part of purrr - in other words, you will learn how to take full advantage of the flexibility offered by the .f in map(.x, .f) to iterate other lists, vectors and data.frame with a robust, clean, and easy to maintain code. During this course, you will learn how to write your own mappers (or lambda functions), and how to use predicates and adverbs. Finally, this new knowledge will be applied to a use case, so that you’ll be able to see how you can use this newly acquired knowledge on a concrete example of a simple nested list, how to extract, keep or discard elements, how to compose functions to manipulate and parse results from this list, how to integrate purrr workflow inside other functions, how to avoid copy and pasting with purrr functional tools. “",,,
online_courses,FALSE,Hierarchical and Mixed Effects Models in R,,Datacamp,2019,2019,"Course description: “This course begins by reviewing slopes and intercepts in linear regressions before moving on to random-effects. You'll learn what a random effect is and how to use one to model your data. Next, the course covers linear mixed-effect regressions. These powerful models will allow you to explore data with a more complicated structure than a standard linear regression. The course then teaches generalized linear mixed-effect regressions. Generalized linear mixed-effects models allow you to model more kinds of data, including binary responses and count data. Lastly, the course goes over repeated-measures analysis as a special case of mixed-effect modeling. This kind of data appears when subjects are followed over time and measurements are collected at intervals. Throughout the course you'll work with real data to answer interesting questions using mixed-effects models. “",,,
online_courses,FALSE,Reporting with R Markdown,,Datacamp,2019,2019,"Course description: “Learn how to write a data report quickly and effectively with the R Markdown package, and share your results with your friends, colleagues or the rest of the world. Learn how you can author your own R Markdown reports, and how to automate the reporting process so that you have your own reproducible reports. By the end of the interactive data analysis reporting tutorial, you will be able to generate reports straight from your R code, documenting your work — and its results — as an HTML, pdf, slideshow or Microsoft Word document.“",,,
event_participation,FALSE,23^rd^ Spring Symposium," Helsinki, Finland",NA,2014,2014,NA,NA,,
